Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Higher,Afghanistan,US$,Food and Beverages,5.879351926
National,Higher,Afghanistan,$PPP,Food and Beverages,12.981018855
National,Higher,Afghanistan,Local Currency,Food and Beverages,273.107655688
National,Middle,Afghanistan,US$,Food and Beverages,534.308625660
National,Middle,Afghanistan,$PPP,Food and Beverages,1179.699808887
National,Middle,Afghanistan,Local Currency,Food and Beverages,24819.704279180
National,Lowest,Afghanistan,US$,Food and Beverages,4615.166425584
National,Lowest,Afghanistan,$PPP,Food and Beverages,10189.824174212
National,Lowest,Afghanistan,Local Currency,Food and Beverages,214383.710801242
National,Low,Afghanistan,US$,Food and Beverages,6937.496295875
National,Low,Afghanistan,$PPP,Food and Beverages,15317.295400732
National,Low,Afghanistan,Local Currency,Food and Beverages,322260.577936006
National,All,Afghanistan,US$,Food and Beverages,12092.850699020
National,All,Afghanistan,$PPP,Food and Beverages,26699.800402628
National,All,Afghanistan,Local Currency,Food and Beverages,561737.100670882
Rural,Higher,Afghanistan,US$,Food and Beverages,0
Rural,Higher,Afghanistan,$PPP,Food and Beverages,0
Rural,Higher,Afghanistan,Local Currency,Food and Beverages,0
Rural,Middle,Afghanistan,US$,Food and Beverages,62.031850144
Rural,Middle,Afghanistan,$PPP,Food and Beverages,136.960098050
Rural,Middle,Afghanistan,Local Currency,Food and Beverages,2881.503502883
Rural,Lowest,Afghanistan,US$,Food and Beverages,4247.149965215
Rural,Lowest,Afghanistan,$PPP,Food and Beverages,9377.280773048
Rural,Lowest,Afghanistan,Local Currency,Food and Beverages,197288.610184158
Rural,Low,Afghanistan,US$,Food and Beverages,4510.134788218
Rural,Low,Afghanistan,$PPP,Food and Beverages,9957.924862507
Rural,Low,Afghanistan,Local Currency,Food and Beverages,209504.781182287
Rural,All,Afghanistan,US$,Food and Beverages,8819.316603552
Rural,All,Afghanistan,$PPP,Food and Beverages,19472.165733552
Rural,All,Afghanistan,Local Currency,Food and Beverages,409674.894868208
Urban,Higher,Afghanistan,US$,Food and Beverages,5.879351926
Urban,Higher,Afghanistan,$PPP,Food and Beverages,12.981018855
Urban,Higher,Afghanistan,Local Currency,Food and Beverages,273.107655688
Urban,Middle,Afghanistan,US$,Food and Beverages,472.276775527
Urban,Middle,Afghanistan,$PPP,Food and Beverages,1042.739710859
Urban,Middle,Afghanistan,Local Currency,Food and Beverages,21938.200776760
Urban,Lowest,Afghanistan,US$,Food and Beverages,368.016460381
Urban,Lowest,Afghanistan,$PPP,Food and Beverages,812.543401189
Urban,Lowest,Afghanistan,Local Currency,Food and Beverages,17095.100617624
Urban,Low,Afghanistan,US$,Food and Beverages,2427.361507669
Urban,Low,Afghanistan,$PPP,Food and Beverages,5359.370538250
Urban,Low,Afghanistan,Local Currency,Food and Beverages,112755.79675425
Urban,All,Afghanistan,US$,Food and Beverages,3273.534095479
Urban,All,Afghanistan,$PPP,Food and Beverages,7227.634669100
Urban,All,Afghanistan,Local Currency,Food and Beverages,152062.205803197
National,Higher,Albania,US$,Food and Beverages,265.211607225
National,Higher,Albania,$PPP,Food and Beverages,476.483269236
National,Higher,Albania,Local Currency,Food and Beverages,27565.033608552
National,Middle,Albania,US$,Food and Beverages,1795.404945394
National,Middle,Albania,$PPP,Food and Beverages,3225.652251551
National,Middle,Albania,Local Currency,Food and Beverages,186607.208404458
National,Lowest,Albania,US$,Food and Beverages,60.651830643
National,Lowest,Albania,$PPP,Food and Beverages,108.968015587
National,Lowest,Albania,Local Currency,Food and Beverages,6303.908669746
National,Low,Albania,US$,Food and Beverages,1590.792497133
National,Low,Albania,$PPP,Food and Beverages,2858.042367151
National,Low,Albania,Local Currency,Food and Beverages,165340.608982067
National,All,Albania,US$,Food and Beverages,3712.060880378
National,All,Albania,$PPP,Food and Beverages,6669.145903493
National,All,Albania,Local Currency,Food and Beverages,385816.759662992
Rural,Higher,Albania,US$,Food and Beverages,8.903844922
Rural,Higher,Albania,$PPP,Food and Beverages,15.996785290
Rural,Higher,Albania,Local Currency,Food and Beverages,925.430025838
Rural,Middle,Albania,US$,Food and Beverages,497.517137584
Rural,Middle,Albania,$PPP,Food and Beverages,893.846972601
Rural,Middle,Albania,Local Currency,Food and Beverages,51709.94121195
Rural,Lowest,Albania,US$,Food and Beverages,44.964640686
Rural,Lowest,Albania,$PPP,Food and Beverages,80.784167851
Rural,Lowest,Albania,Local Currency,Food and Beverages,4673.444894374
Rural,Low,Albania,US$,Food and Beverages,900.708335722
Rural,Low,Albania,$PPP,Food and Beverages,1618.226505706
Rural,Low,Albania,Local Currency,Food and Beverages,93616.021581596
Rural,All,Albania,US$,Food and Beverages,1452.093958897
Rural,All,Albania,$PPP,Food and Beverages,2608.854431418
Rural,All,Albania,Local Currency,Food and Beverages,150924.837711965
Urban,Higher,Albania,US$,Food and Beverages,256.307762308
Urban,Higher,Albania,$PPP,Food and Beverages,460.486483954
Urban,Higher,Albania,Local Currency,Food and Beverages,26639.603583207
Urban,Middle,Albania,US$,Food and Beverages,1297.887807816
Urban,Middle,Albania,$PPP,Food and Beverages,2331.805278960
Urban,Middle,Albania,Local Currency,Food and Beverages,134897.267193122
Urban,Lowest,Albania,US$,Food and Beverages,15.687189963
Urban,Lowest,Albania,$PPP,Food and Beverages,28.183847747
Urban,Lowest,Albania,Local Currency,Food and Beverages,1630.463776032
Urban,Low,Albania,US$,Food and Beverages,690.084161418
Urban,Low,Albania,$PPP,Food and Beverages,1239.815861457
Urban,Low,Albania,Local Currency,Food and Beverages,71724.587401123
Urban,All,Albania,US$,Food and Beverages,2259.966921487
Urban,All,Albania,$PPP,Food and Beverages,4060.291472086
Urban,All,Albania,Local Currency,Food and Beverages,234891.92195166
National,Higher,Armenia,US$,Food and Beverages,0.351188763
National,Higher,Armenia,$PPP,Food and Beverages,0.570405436
National,Higher,Armenia,Local Currency,Food and Beverages,131.225193073
National,Middle,Armenia,US$,Food and Beverages,65.307745045
National,Middle,Armenia,$PPP,Food and Beverages,106.073703853
National,Middle,Armenia,Local Currency,Food and Beverages,24402.892013606
National,Lowest,Armenia,US$,Food and Beverages,509.053153117
National,Lowest,Armenia,$PPP,Food and Beverages,826.810868631
National,Lowest,Armenia,Local Currency,Food and Beverages,190212.801193824
National,Low,Armenia,US$,Food and Beverages,1003.311786801
National,Low,Armenia,$PPP,Food and Beverages,1629.592282993
National,Low,Armenia,Local Currency,Food and Beverages,374897.482256244
National,All,Armenia,US$,Food and Beverages,1578.023873724
National,All,Armenia,$PPP,Food and Beverages,2563.047260909
National,All,Armenia,Local Currency,Food and Beverages,589644.400655735
Rural,Higher,Armenia,US$,Food and Beverages,0
Rural,Higher,Armenia,$PPP,Food and Beverages,0
Rural,Higher,Armenia,Local Currency,Food and Beverages,0
Rural,Middle,Armenia,US$,Food and Beverages,10.448741567
Rural,Middle,Armenia,$PPP,Food and Beverages,16.970984342
Rural,Middle,Armenia,Local Currency,Food and Beverages,3904.276773740
Rural,Lowest,Armenia,US$,Food and Beverages,214.076785465
Rural,Lowest,Armenia,$PPP,Food and Beverages,347.706348266
Rural,Lowest,Armenia,Local Currency,Food and Beverages,79991.931656791
Rural,Low,Armenia,US$,Food and Beverages,376.080034412
Rural,Low,Armenia,$PPP,Food and Beverages,610.834169326
Rural,Low,Armenia,Local Currency,Food and Beverages,140526.06565842
Rural,All,Armenia,US$,Food and Beverages,600.605561441
Rural,All,Armenia,$PPP,Food and Beverages,975.511501930
Rural,All,Armenia,Local Currency,Food and Beverages,224422.274087982
Urban,Higher,Armenia,US$,Food and Beverages,0.351188763
Urban,Higher,Armenia,$PPP,Food and Beverages,0.570405436
Urban,Higher,Armenia,Local Currency,Food and Beverages,131.225193073
Urban,Middle,Armenia,US$,Food and Beverages,54.859003479
Urban,Middle,Armenia,$PPP,Food and Beverages,89.102719512
Urban,Middle,Armenia,Local Currency,Food and Beverages,20498.615240142
Urban,Lowest,Armenia,US$,Food and Beverages,294.976367654
Urban,Lowest,Armenia,$PPP,Food and Beverages,479.104520368
Urban,Lowest,Armenia,Local Currency,Food and Beverages,110220.869537723
Urban,Low,Armenia,US$,Food and Beverages,627.231752391
Urban,Low,Armenia,$PPP,Food and Beverages,1018.758113670
Urban,Low,Armenia,Local Currency,Food and Beverages,234371.41659839
Urban,All,Armenia,US$,Food and Beverages,977.418312285
Urban,All,Armenia,$PPP,Food and Beverages,1587.535758982
Urban,All,Armenia,Local Currency,Food and Beverages,365222.12656834
National,Higher,Azerbaijan,US$,Food and Beverages,94.611941326
National,Higher,Azerbaijan,$PPP,Food and Beverages,146.950462060
National,Higher,Azerbaijan,Local Currency,Food and Beverages,75.973388885
National,Middle,Azerbaijan,US$,Food and Beverages,1245.455892250
National,Middle,Azerbaijan,$PPP,Food and Beverages,1934.431492218
National,Middle,Azerbaijan,Local Currency,Food and Beverages,1000.101081476
National,Lowest,Azerbaijan,US$,Food and Beverages,719.763428828
National,Lowest,Azerbaijan,$PPP,Food and Beverages,1117.930432009
National,Lowest,Azerbaijan,Local Currency,Food and Beverages,577.970033349
National,Low,Azerbaijan,US$,Food and Beverages,3526.478649743
National,Low,Azerbaijan,$PPP,Food and Beverages,5477.296626197
National,Low,Azerbaijan,Local Currency,Food and Beverages,2831.762355744
National,All,Azerbaijan,US$,Food and Beverages,5586.309910669
National,All,Azerbaijan,$PPP,Food and Beverages,8676.609010188
National,All,Azerbaijan,Local Currency,Food and Beverages,4485.806858267
Rural,Higher,Azerbaijan,US$,Food and Beverages,20.969667668
Rural,Higher,Azerbaijan,$PPP,Food and Beverages,32.569909356
Rural,Higher,Azerbaijan,Local Currency,Food and Beverages,16.838643137
Rural,Middle,Azerbaijan,US$,Food and Beverages,404.353378076
Rural,Middle,Azerbaijan,$PPP,Food and Beverages,628.038225522
Rural,Middle,Azerbaijan,Local Currency,Food and Beverages,324.695762595
Rural,Lowest,Azerbaijan,US$,Food and Beverages,384.362366682
Rural,Lowest,Azerbaijan,$PPP,Food and Beverages,596.988356761
Rural,Lowest,Azerbaijan,Local Currency,Food and Beverages,308.642980446
Rural,Low,Azerbaijan,US$,Food and Beverages,1620.660953479
Rural,Low,Azerbaijan,$PPP,Food and Beverages,2517.196800085
Rural,Low,Azerbaijan,Local Currency,Food and Beverages,1301.390745644
Rural,All,Azerbaijan,US$,Food and Beverages,2430.346364432
Rural,All,Azerbaijan,$PPP,Food and Beverages,3774.793289437
Rural,All,Azerbaijan,Local Currency,Food and Beverages,1951.568130639
Urban,Higher,Azerbaijan,US$,Food and Beverages,73.642273930
Urban,Higher,Azerbaijan,$PPP,Food and Beverages,114.380553125
Urban,Higher,Azerbaijan,Local Currency,Food and Beverages,59.134745966
Urban,Middle,Azerbaijan,US$,Food and Beverages,841.102514656
Urban,Middle,Azerbaijan,$PPP,Food and Beverages,1306.393267444
Urban,Middle,Azerbaijan,Local Currency,Food and Beverages,675.405319269
Urban,Lowest,Azerbaijan,US$,Food and Beverages,335.401062847
Urban,Lowest,Azerbaijan,$PPP,Food and Beverages,520.942076337
Urban,Lowest,Azerbaijan,Local Currency,Food and Beverages,269.327053466
Urban,Low,Azerbaijan,US$,Food and Beverages,1905.817696858
Urban,Low,Azerbaijan,$PPP,Food and Beverages,2960.099827034
Urban,Low,Azerbaijan,Local Currency,Food and Beverages,1530.371610577
Urban,All,Azerbaijan,US$,Food and Beverages,3155.963546804
Urban,All,Azerbaijan,$PPP,Food and Beverages,4901.815721632
Urban,All,Azerbaijan,Local Currency,Food and Beverages,2534.238728084
National,Higher,Bangladesh,US$,Food and Beverages,13.833424319
National,Higher,Bangladesh,$PPP,Food and Beverages,29.181457140
National,Higher,Bangladesh,Local Currency,Food and Beverages,963.484170383
National,Middle,Bangladesh,US$,Food and Beverages,368.729228809
National,Middle,Bangladesh,$PPP,Food and Beverages,777.830270992
National,Middle,Bangladesh,Local Currency,Food and Beverages,25681.622057329
National,Lowest,Bangladesh,US$,Food and Beverages,23883.965433265
National,Lowest,Bangladesh,$PPP,Food and Beverages,50382.963578202
National,Lowest,Bangladesh,Local Currency,Food and Beverages,1663494.30846149
National,Low,Bangladesh,US$,Food and Beverages,7920.904650893
National,Low,Bangladesh,$PPP,Food and Beverages,16709.061635826
National,Low,Bangladesh,Local Currency,Food and Beverages,551683.088030079
National,All,Bangladesh,US$,Food and Beverages,32187.432737273
National,All,Bangladesh,$PPP,Food and Beverages,67899.036942130
National,All,Bangladesh,Local Currency,Food and Beverages,2241822.5027183
Rural,Higher,Bangladesh,US$,Food and Beverages,0
Rural,Higher,Bangladesh,$PPP,Food and Beverages,0
Rural,Higher,Bangladesh,Local Currency,Food and Beverages,0
Rural,Middle,Bangladesh,US$,Food and Beverages,63.266233810
Rural,Middle,Bangladesh,$PPP,Food and Beverages,133.459427527
Rural,Middle,Bangladesh,Local Currency,Food and Beverages,4406.429918648
Rural,Lowest,Bangladesh,US$,Food and Beverages,18136.531837463
Rural,Lowest,Bangladesh,$PPP,Food and Beverages,38258.815335963
Rural,Lowest,Bangladesh,Local Currency,Food and Beverages,1263191.30594749
Rural,Low,Bangladesh,US$,Food and Beverages,2738.628785905
Rural,Low,Bangladesh,$PPP,Food and Beverages,5777.107438880
Rural,Low,Bangladesh,Local Currency,Food and Beverages,190742.7563095
Rural,All,Bangladesh,US$,Food and Beverages,20938.426857168
Rural,All,Bangladesh,$PPP,Food and Beverages,44169.382202346
Rural,All,Bangladesh,Local Currency,Food and Beverages,1458340.49217486
Urban,Higher,Bangladesh,US$,Food and Beverages,13.833424319
Urban,Higher,Bangladesh,$PPP,Food and Beverages,29.181457140
Urban,Higher,Bangladesh,Local Currency,Food and Beverages,963.484170383
Urban,Middle,Bangladesh,US$,Food and Beverages,305.462995003
Urban,Middle,Bangladesh,$PPP,Food and Beverages,644.370843473
Urban,Middle,Bangladesh,Local Currency,Food and Beverages,21275.192138956
Urban,Lowest,Bangladesh,US$,Food and Beverages,5747.433595810
Urban,Lowest,Bangladesh,$PPP,Food and Beverages,12124.148242257
Urban,Lowest,Bangladesh,Local Currency,Food and Beverages,400303.002514584
Urban,Low,Bangladesh,US$,Food and Beverages,5182.275864995
Urban,Low,Bangladesh,$PPP,Food and Beverages,10931.954196961
Urban,Low,Bangladesh,Local Currency,Food and Beverages,360940.331721046
Urban,All,Bangladesh,US$,Food and Beverages,11249.005880113
Urban,All,Bangladesh,$PPP,Food and Beverages,23729.654739800
Urban,All,Bangladesh,Local Currency,Food and Beverages,783482.010543972
National,Higher,Belarus,US$,Food and Beverages,1454.403924451
National,Higher,Belarus,$PPP,Food and Beverages,3926.640905473
