"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23999.1142843279","25748.0044094444","26407.6143285221","27303.4322946377","28521.48712984","28510.8771132387","28360.1736228461","30064.8553754588","30348.0180377438","30588.2919844547","32982.3260095604","32011.1035266642","30745.4673108443","31310.586125945","34112.0447452215","35176.2122313659","36346.7893019958","37840.2290772023","38496.926580555","34674.5390228521","33732.843869679","35490.1839843782","35493.0960619497","37409.7407314932","38215.6376497119","38249.0514374276","38408.58313066","39492.8590825129","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","859.932505675506","909.646099562203","906.448773126816","1001.17216949841","1052.67398910262","1196.679102659","1236.58051110169","1474.12869557977","1659.11275074502","1649.15037334293","1834.09853508792","1906.54589608469","1933.02114129523","1924.55971464203","1936.79207158881","1976.3632389106","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2994.94844297995","3030.21042147319","2824.97351951586","2127.12724441669","2131.89554286576","2427.79566483024","2727.93645614538","2896.2338879585","2982.89967567755","3008.18811811118","3075.90037574106","3173.62820402424","3539.85693198098","3589.55375126723","3948.55418079344","4523.4428609959","5018.61469875079","5668.30470609009","6199.92655691132","6079.88243063667","6226.86117785428","6346.94437233055","6775.70705534536","6985.10593986948","7204.94491457712","7102.98758695733","6763.74056446593","6657.85389136538","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2608.91323143518","1909.58199385399","1823.51277747392","2058.64410934404","2290.9793347024","2666.23574309356","2980.43233000394","2717.35110879306","3021.01213183757","3471.66487269184","3861.34196543854","4301.32633262302","4661.40633683223","4994.53329497544","5422.77793100306","5865.29960607274","6559.7388663407","7276.34725001688","8228.364871311","8814.83498750607","9628.00680718028","10207.7535191277","10526.2553281705","10571.0074883854","11259.2898237898","11662.0449328188","11890.5538932007","12943.4454960323","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6710.71121026265","6771.5530328075","7150.60884510436","7354.15621147771","7541.25044964515","7670.71892184624","7991.34226804083","8295.76633609846","8695.06637874921","8849.34919337407","9328.10654131679","9509.00947635193","9508.3447087393","9912.88909567013","10879.5899489338","11595.309424308","12392.0173446471","12982.0531228306","13671.5451838974","13574.9250498765","14062.9887959186","14446.9717450307","15347.4731032287","15739.0721345721","16063.085022157","16410.4730321108","16809.9164186763","16986.7333002521","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71359.1703885983","70221.6291292264","70076.6911685909","68674.2474571506","71067.7308389247","73604.8515006033","75525.5236512562","79139.3762943784","76326.8781922595","75740.5442407248","81332.0104961038","80009.989381478","78915.8568207507","82080.2741057794","84584.2147714192","81717.0316616241","80821.8172767032","74254.0120760197","68492.4084646019","58808.1522380104","56061.5403672691","58363.6782159597","60558.6531125811","63974.8148314142","67567.7611104212","71095.0451900209","73099.5789039071","74035.2474644218","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7323.93977343071","8143.39504313849","8866.92028185051","9691.66106606803","10340.0157476517","10127.3678994234","10751.63997481","11685.9656266518","12129.6240457611","11766.3500718016","11807.2517284392","11416.3422506036","10214.8423912244","11214.9032461503","12427.7564346829","13814.4268135247","15223.8898421536","16861.5324145835","17707.2282013197","16614.1673700551","18329.1821138896","19629.3518451916","19593.5769107382","20204.2833772789","19863.073956337","20416.5481792635","20065.0753136639","20828.8763162865","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.2854747884","2227.13948910494","1349.78705810795","1290.16610871895","1422.37131023189","1584.22349026984","1734.24262459311","1842.940001535","2014.62617741466","2126.40917192483","2317.68656022465","2613.16274293462","3019.7354150649","3531.12838094065","4030.98799628381","4768.35433365493","5606.3117996181","6603.64530265992","7259.24135769915","6322.07394483051","6565.69621858384","7022.10394338388","7655.18405560631","8014.35911043644","8422.95523632537","8753.12445771914","8842.69475663723","9667.95934414086","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10585.0746062295","11074.0443542383","11270.1435152413","11885.0743954076","12626.814615764","12010.049245126","12690.7034012923","13244.4231733633","13650.7341237117","14025.7498658227","14983.8455388895","14313.8324606117","14476.6351410557","15475.5393177321","16629.5873048694","18061.5071914413","20742.4398092405","22991.2349112029","23157.1754058538","20266.2636932638","18819.5946415266","18605.3165854008","19412.4952660156","19521.4573925005","20596.0392236786","21427.1773244112","22636.7081704617","23522.1180284029","",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17333.0965601465","17793.5984945595","18189.3356838445","19130.8925935104","20063.8128261203","20894.3972067408","21972.0526522953","22934.7860068545","24196.7212783416","25250.5128548919","26316.7270837216","27325.0511480398","28706.4378056749","29681.5977118112","31297.3977131543","32539.0815705167","34282.1728880743","36511.6850439572","37409.163067008","40241.3678175533","39259.9370087555","41894.1730524786","42750.8730776974","45829.593376277","46799.4538728693","46185.0853384234","47274.2613771814","49378.2796369625","",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19442.312042665","20585.0193104127","21259.6367506188","21698.3076736738","22606.8296418745","23660.4086083689","24529.2078275032","25424.0699288625","26674.609548055","27606.4830303088","29380.0660424793","29715.2222181289","31178.6933297272","32108.632547686","33743.0447084692","35013.7140443423","37623.0757580996","39392.5405883999","41316.225176699","40926.5237645676","42006.0468807427","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49877.7133112879","51655.5030888825","53879.2978545168","",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5501.12494920796","5557.49595975396","4333.40249415149","3360.23589993083","2718.69329101337","2419.86903599437","2470.99788432377","2633.53195957472","2900.66143518527","3135.34781044759","3533.4883240857","3941.14705275938","4392.92186622664","4944.7312755418","5550.12814167052","7167.44487661684","9827.82399149709","12474.4162925723","13796.5031448989","14896.9638051112","15623.8877830023","15754.1523626148","16192.9287437128","17208.2031210407","17662.5897218637","17834.1160526688","17276.0298585468","17449.9400849818","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666.76847397933","706.859195195476","714.91194183397","673.139283962192","649.851296427836","601.595937645741","556.19721592182","550.255974533888","575.654925409092","570.029860836362","567.009594053885","577.849103505884","595.92465700351","582.103950505602","606.999807508062","611.659802909167","642.758938209727","659.924258684615","682.153292702135","690.276626311256","711.227308075424","732.262990100057","756.391404704857","783.971795407919","808.131255678429","761.255578529508","741.350491725264","735.450224837912","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18758.9975494983","19675.6326021437","20349.3265781895","20550.6398938053","21600.1252066659","22531.7169349596","22891.1030954177","23927.5056427506","24563.9750111524","25642.2616549851","27988.4736100195","28958.4931661401","30482.7846512136","31056.4297700342","32237.9654121564","33332.3313498604","35386.2435378267","36872.6347191659","38133.5014644659","38008.8318042255","40051.9559032756","41284.1510136804","42435.9092509865","43611.072914714","44604.5110502539","45582.0976862492","47220.3631159436","49366.676337176","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945.151838586883","984.079494936131","1000.8494502671","1047.15556126456","1054.30053028027","1104.37423080538","1136.8377548209","1186.13463030802","1210.16115090788","1256.66335968774","1320.57533244166","1380.29177666604","1422.61553908932","1456.01807329178","1516.06952550084","1545.33054037554","1608.39015654567","1700.80235276202","1768.32386977649","1772.74694327667","1781.56312824942","1820.89469315629","1891.54734702648","2006.35545651744","2114.50697170292","2122.23540138424","2169.7096704166","2276.49620543413","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.596411471763","598.647541336214","597.412067279874","615.880459473375","620.113217460815","651.107513878984","715.949452415582","752.948170924387","794.165193725764","841.919990009341","852.186187721878","903.05962633061","929.709808857913","993.03176045898","1035.27654667282","1127.29049481871","1198.22438927001","1261.11597064006","1338.54177997951","1347.25865002518","1394.25295233121","1472.71648241138","1550.63336806682","1620.21038482655","1672.02718832944","1704.85948978161","1773.31357729459","1866.16099790288","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832.236044080327","869.12851175408","916.30053316723","960.933048403887","997.734173272638","1047.93484094509","1091.75789408259","1136.08425096287","1183.09517343736","1232.14127418016","1301.15366422112","1372.03602623488","1420.0933283941","1490.66887455769","1585.80481220926","1717.99406170163","1863.75164876276","2023.75052638006","2163.03971359495","2264.33268138403","2392.74645728051","2570.85014525476","2758.49477386501","2940.87262453324","3141.56579597516","3345.53142141565","3583.78177378488","3877.03245165611","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5191.15277605243","4959.81796679076","4754.74586852505","4834.22630378063","5043.96172957121","5320.08113239781","5624.64423369392","5688.65184854683","6141.21921439586","5767.19233894362","6377.84682214983","6908.91799150168","7726.45509505194","8343.15743725589","9122.84893229061","10211.2738263658","11313.4773769746","12800.8858247757","14328.9644890528","14146.1791513367","14934.1145018985","15676.1384768142","16208.2507242839","16571.026262495","17534.3888023054","18186.4863591477","19500.4014374017","20948.0970565215","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22689.5080949565","25369.8813007","26979.0741542144","30412.6436294452","30228.2190240847","31268.5859089151","32290.5386658651","32933.5190584001","33818.4841863765","34527.3011170535","35614.1270150442","35570.4200107918","35507.8438385249","36249.4666147427","37390.9473205245","38457.410938094","39153.8034728154","40273.3831302268","40547.3757194173","39402.791179621","39740.3928203046","40164.5827403304","41745.8872210853","44262.1116775989","46322.2335991684","46912.763168502","47236.0906460895","47708.0554861503","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20026.3676999854","19464.648330291","18785.7294112184","18933.9626349159","19603.8503192401","20571.7620855271","21552.0006359989","22125.0036178207","23170.4712095009","24904.1750946962","26143.1961486578","26966.2551956821","27572.9782359377","27187.6786143509","27589.4603592348","28842.866550439","29879.9916546963","30528.236046904","29850.1684567396","28319.1399027125","28624.0590299641","28941.0282297787","29959.3809464186","29941.4539599455","30069.8715007085","30338.3505035367","29813.2816016617","30494.7462921688","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949.428829584422","1202.84653403794","2353.13653047308","3240.44975471938","3788.577805193","4206.14268658345","4529.31361651103","4731.21895049588","5114.3039972972","5348.96871585508","6172.59269802211","6451.90004019266","7378.77448161239","8164.30419225037","9006.46811999299","9004.90289208764","9305.86310449067","9901.58996483448","10181.9371669482","10825.9024433041","11164.2227562508","11650.4790036316","12346.4003927156","13107.7215607186","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5406.34433734698","5516.55280638035","5089.65986782714","4803.92320217269","4337.21967323242","3980.04391961667","4180.11952017568","4756.48295039344","5236.82930350458","5520.91918822473","6002.26084719356","6462.19920519528","6936.45715011462","7626.24684307748","8792.92169585006","9997.02336970899","11404.1879600506","12773.0284920691","14401.6511566445","14572.4984106013","15927.8730131795","17166.6956434719","17807.4163307514","18298.8479831981","18949.881851571","18389.7421006552","18098.4225562314","18895.5937880729","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3305.75204105454","3736.17447929222","4211.85491805318","4506.17474420792","4516.61250381368","4521.92924931451","4523.51745370235","4593.54873741543","4635.56681673612","4932.44543283707","5510.39015947228","5740.63171136845","5958.42083415732","6473.1811585599","6784.88851391976","7001.46121513317","7353.29297007928","7436.52718348478","7628.89156969279","7547.0077532157","7709.08127235276","7855.0824434194","8057.13729432106","8088.68582436751","8363.46599279046","8558.20466373964","8421.23594890482","8525.12799389499","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26204.6752755615","26254.8783704168","27032.4441250456","28355.8186195475","28931.5547558187","30614.4066218465","31780.216727169","33605.3757851903","35036.6140848608","36570.8610801559","40525.5648551318","43965.6305109507","43695.6369883044","45786.4250862812","47824.059084728","49865.4182082368","53936.5890364353","56627.5139970433","58274.7451235582","55307.0009399214","55241.0690373572","54984.5103947777","53137.2108623097","52547.3357273137","","","","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2395.54484906565","2554.86094871823","2604.28663566983","2725.76148378449","2856.733681005","2993.09863678422","3118.54027020148","3264.17029963871","3398.44561851523","3398.92618599","3496.44741880188","3569.2074529583","3646.70346550107","3752.15800680809","3945.76961525494","4179.32376191649","4437.56874207729","4683.83232703195","4985.69414503075","5107.65818294343","5296.82408788703","5598.50844451487","5904.0322928738","6316.4427304613","6683.34571855805","6975.55698195944","7242.3291782742","7575.68195054526","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6666.9535526281","6872.25919353445","6878.96886759609","7250.70309213993","7674.3930947658","8049.8602371071","8244.83163902235","8534.43073722019","8522.66666667697","8563.31841251016","9010.61190410532","9214.56700583975","9513.23757705848","9688.26605145406","10399.4669232691","10948.6692347714","11602.1121052801","12500.6444847221","13259.6372096951","13212.2817265168","14241.5902012281","14973.0984736747","15408.0841793421","16002.1772409453","16242.2870536238","15699.4428852793","15221.553998552","15553.4015938834","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9145.62615349701","9048.93768054332","8578.91448381652","8859.7619927361","9357.82712078225","9711.55911659569","10243.0658788631","10871.2220289122","11357.4902391743","11527.0585234477","12272.1342386923","12215.4665258541","12465.8765030697","12952.0068714982","13454.2194592968","14390.7943476192","15615.0384152233","16247.8008140897","16517.0108629063","15915.1990685591","16088.8458478881","16472.0832008577","16776.3609543676","17016.4797532585","17287.9413379786","17579.1781282108","18078.5635123997","18559.3353699989","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54713.5447296495","56673.1710183464","59019.1268202319","58932.1047788183","60412.4701761861","62772.3159187811","64137.919885353","62764.1725355747","61671.1324283461","63128.4541359099","65019.36274901","66944.5907831773","69230.2742452157","71320.263942315","72394.3484326957","73855.7156451832","78379.5385797764","79597.9293013321","78664.2619954962","76946.0078158988","78904.6144504433","82434.8830910215","83566.4452705703","82000.9265547534","80402.3551795274","79671.7678070956","77507.6618299876","79003.425280078","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502.52311986372","1546.19086895948","1672.12027375453","1773.97088216282","1925.77936912038","2111.66587015209","2250.62358788149","2368.94700080301","2473.58509720655","2637.10253877295","2804.26545808642","3018.2827036345","3299.37781560174","3524.08816606962","3733.60042819324","4025.38400163503","4330.43144301133","5130.18960514423","5370.85438819911","5662.78029846362","6288.31800541812","6805.87845575689","7167.62355439881","7332.86620061803","7783.98478531064","8273.41483709925","8917.30261688764","9391.53918236849","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5130.20269885493","5540.2633534695","5675.21700653533","5767.62280759024","5953.0009579726","6353.22224575232","6697.10573127896","7227.58149417597","7197.82908945486","7871.89845938692","8075.76073305257","8155.01020121888","8659.32347725636","9115.66614434837","9488.33925248323","10093.5626105284","11103.9730720943","12148.4389846524","12944.4069836593","11840.6562281172","12785.726115584","13596.1670881865","14211.3164096262","15804.5879323024","16461.9000466127","16054.6784594191","16621.7029968877","17024.1700040083","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","597.750629942762","598.984498371944","558.248779844174","558.050271727361","582.035911097108","620.789525314553","592.167837124447","619.53094524524","641.093976322046","659.824615988963","644.286581697226","674.519762095105","695.948577361992","659.024277286406","704.753065701174","721.07741012313","765.005124371888","807.32402754082","826.616716581292","835.812153805104","863.114819213966","904.610485797435","956.828926210529","615.037138133113","630.983363213519","663.826529972316","694.08644540126","727.485970915601","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20101.4442082341","20064.6458499872","20450.5421324715","21257.0480941789","22469.5071590238","23360.6666869564","23912.6861611914","25099.3824429055","26139.8861926925","27656.6769217414","29185.141084618","30048.5708862381","30851.3114815056","32192.4744434586","33739.5680708895","36134.6022423077","37999.8190975823","39441.1224281922","40277.6193121099","38797.7588492531","40011.9383867688","41565.2712210369","42145.0978611317","44101.4714464506","45519.7939192537","44406.6658691643","44819.1118756931","46509.7170276915","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6883.68607651728","6447.11315951503","6498.91254702076","6765.91516043129","7197.45620966084","7785.62620472407","8286.10874885601","8689.40808842607","9084.4196919114","9383.74565584076","10008.1475692743","10795.8422264221","11612.9533032737","12355.3697022803","13474.7805470694","14306.4501440793","15901.0215641878","17734.5993594662","19635.9170264386","19638.5628068487","20723.894997294","22133.6824745246","22945.9293749436","23958.6314375023","24969.8362652861","26024.8948268489","27332.9301647526","29632.3331855967","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27594.6320514102","27915.4715600099","28226.2267443858","28596.9528449681","29343.6315787123","29902.4899798191","30542.0818966431","31812.5156785999","32918.592079192","33814.0792910998","35754.5731603853","36778.0210933713","37718.3041278531","37713.3683722134","39169.9960315091","40572.2631753381","45106.4159314955","49746.3554026374","52584.7349460344","51769.0498916588","53067.6865897775","56183.8325850081","57849.5839884654","60108.5163468318","61902.1624060426","63938.9799757284","64215.8602620115","66307.3840319521","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4522.23870112616","4966.52842951909","5642.84261742735","6146.82789557358","6603.71965787847","7395.15470829782","8061.05364562734","8691.04501983755","9050.13274672862","9028.23301023478","9603.39081224987","10018.587945397","10373.2579601586","10875.7083496171","11843.0973020562","12774.7312248309","15787.4714789221","16981.3950784509","16547.677786298","16214.0907386429","18235.7428234871","20437.704525923","21620.2809667472","22578.7289196522","22978.1913015912","22959.5543381377","23228.2169702129","24747.3071535577","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.333669698622","1098.79076137985","1267.9698956691","1461.26262652691","1668.18368332144","1869.02157070529","2070.27896833376","2276.6650996136","2458.04574816866","2663.85114518411","2932.61697573753","3226.08078311775","3550.8187044198","3960.3314984018","4454.14511995557","5091.34830759098","5882.31962926784","6862.34880045664","7633.25621274938","8372.43997787724","9330.90386903119","10384.3665989406","11359.5093617725","12394.2121918322","13481.862918556","14492.4244748065","15548.0965024331","16842.4079704626","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2063.74057891821","2059.07524649954","2028.56033973417","2002.87798185917","1994.61397476321","2112.7234169605","2247.33900888127","2302.17232069941","2374.4815318788","2387.34036392899","2335.8010972347","2342.29762679693","2294.64536903438","2267.73266585906","2317.06299694748","2387.86398245441","2450.01377639107","2507.77715245014","2566.58000372065","2611.44245376658","2635.21070060516","2511.42019511915","2764.39712215505","2986.58975119416","3227.67907144953","3461.98919885265","3685.16449656929","3944.75116156007","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1951.77927978778","1884.36030418036","1815.16333291838","1664.01746526961","1689.08682061721","1737.57940098257","1799.4747229832","1878.03079472135","1934.96228046826","1998.21799867229","2063.33253519634","2146.64401539144","2213.62219759206","2299.55717691885","2456.7669072002","2518.49071459253","2613.78845295568","2739.02111187049","2811.97592103289","2817.31724905686","2869.87977485323","2969.0475747898","3079.14789451182","3215.07688384438","3377.54506967235","3512.66768977908","3620.28461446194","3722.43117489288","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","896.141290193562","817.292747376754","719.477806816215","612.969787074332","580.088049666043","577.378809488999","565.920297965128","530.140234276283","515.310808325472","489.308870860105","454.20345897355","442.412088182767","449.069662559266","468.946646709098","498.364850812766","528.835857446811","555.897230965511","586.954727241359","615.13153628746","616.703302146842","646.701905222689","682.432155374077","720.353224437382","769.105972877041","829.864211724295","867.633647694266","869.197748211333","889.095644677329","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3321.63038910892","3420.06928877734","3492.92596436262","3445.44146615031","3235.09927809628","3340.02273232549","3448.40435717606","3387.56325577182","3452.11842390382","3318.75797413016","3550.24783742991","3666.83577468354","3789.29314742682","3790.22788609183","3914.80924542069","4222.06967809581","4473.81552509941","4368.01288138958","4542.84388059544","4759.31197957683","5080.22326239684","5213.94692099844","5372.26067906683","5514.16019223887","5851.97364364403","5919.71997381962","5669.1651892986","5454.26386492036","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4823.96643514188","4990.35450415268","5214.70189287486","5527.35077433714","5871.28771107949","6201.41372775825","6341.62417835021","6568.46793225819","6577.39727873445","6303.28618341628","6539.25831437408","6703.45438422917","6878.85263634577","7190.66559795989","7678.21850245497","8190.64380291892","8901.49563791472","9645.68205307822","10036.0368208494","10118.1802553692","10570.2080599903","11463.5350463519","12016.4450779539","12661.0940676112","13383.6981204963","13800.5325071528","14101.078946967","14503.3261875557","",
"Comoros","COM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1667.46598296474","1582.78758113905","1706.34717645809","1748.08840933748","1643.51709048973","1690.40265172681","1653.01540407478","1702.63133669931","1697.75179582411","1712.1786230094","1892.75223842047","1932.82744404284","1960.20049305142","1993.28581092305","2038.420313718","2112.77320573067","2182.52057697242","2205.04351125634","2282.69693273056","2317.14503022617","2376.53863343402","2465.32491834502","2531.04826587794","2627.36174864949","2668.91272044632","2663.84442427798","2689.02966128324","2751.02017021241","",
"Cabo Verde","CPV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070.65929268262","1096.02018193452","1211.90658029955","1312.51523600953","1554.84701302882","1766.40138264881","1954.28753577553","2157.86346556705","2400.51876812145","2653.78888724193","3039.1961484815","3115.96954497056","3268.1359251296","3411.83020423002","3801.02542127175","4133.51397959994","4541.05996912346","5306.87135706106","5708.80496090937","5619.20218037447","5708.98575049893","5991.77849034175","6101.75902215139","6184.9558485098","6264.23488808358","6317.25521439574","6604.48668471064","6912.63844668949","",
"Costa Rica","CRI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5042.17783709416","5194.40609443649","5655.69882417571","6045.60839935123","6291.84058054233","6525.43257910017","6566.32617850903","6885.74671875025","7277.76162830704","7518.17239843456","7827.95020822359","8137.87360635766","8395.30477807575","8791.29120889481","9287.29332634409","9814.66573473559","10694.9186172569","11711.4279030435","12326.9967442787","12139.0463919569","12733.9900150362","13397.2305422501","14144.206276736","14555.4956262872","15187.090383441","15740.6004881475","16419.5978036763","17109.7509958465","",
"Caribbean small states","CSS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6052.06146179536","6332.73788129986","6428.52877765772","6717.38241567672","6990.38005112932","7289.55254503479","7611.99184246402","7929.52842436163","8189.09885351858","8594.92775562339","9063.44608312806","9411.91968823476","9866.36192648937","10662.2748335254","11359.264203081","12086.3598415423","13289.4651948934","14021.8823418371","14430.9308966754","13945.0109419142","14250.0836823632","14616.7586968494","14989.5483302334","15311.7826769687","15612.4386815583","15856.7706084104","15597.1340622489","15809.1011872613","",
"Cuba","CUB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
