food waste,PPP/capita,Country Name,,
51.8,7102.987587,Angola,Angola,LMC
51.4,11662.04493,Albania,Albania,UMC
39,71095.04519,United Arab Emirates,United Arab Emirates,HIC
38.74,20416.54818,Argentina,Argentina,HIC
57,8753.124458,Armenia,Armenia,UMC
46,21427.17732,Antigua and Barbuda,Antigua and Barbuda,HIC
48.44,46185.08534,Australia,Australia,HIC
31.4,49877.71331,Austria,Austria,HIC
45.19,17834.11605,Azerbaijan,Azerbaijan,UMC
81,761.2555785,Burundi,Burundi,LIC
14.18,45582.09769,Belgium,Belgium,HIC
52.1,2122.235401,Benin,Benin,LIC
21,1704.85949,Burkina Faso,Burkina Faso,LIC
80.58,3345.531421,Bangladesh,Bangladesh,LMC
24.35,18186.48636,Bulgaria,Bulgaria,UMC
59.1,46912.76317,Bahrain,Bahrain,HIC
46,30338.3505,"Bahamas, The","Bahamas, The",HIC
30,18389.7421,Belarus,Belarus,UMC
47,8558.204664,Belize,Belize,UMC
55.1969112,6975.556982,Bolivia,Bolivia,LMC
51.4,15699.44289,Brazil,Brazil,UMC
18.3,17579.17813,Barbados,Barbados,HIC
36,79671.76781,Brunei Darussalam,Brunei Darussalam,HIC
58,8273.414837,Bhutan,Bhutan,LMC
8.1,16054.67846,Botswana,Botswana,UMC
24,44406.66587,Canada,Canada,HIC
29,63938.97998,Switzerland,Switzerland,HIC
53.3,22959.55434,Chile,Chile,HIC
61.2,14492.42447,China,China,UMC
83.4,3512.66769,Cameroon,Cameroon,LMC
59.58,13800.53251,Colombia,Colombia,UMC
50,2663.844424,Comoros,Comoros,LIC
58,15740.60049,Costa Rica,Costa Rica,UMC
10.9,54536.75644,Cayman Islands,Cayman Islands,HIC
41.47,31578.35443,Cyprus,Cyprus,HIC
62.3,33691.42424,Czech Republic,Czech Republic,HIC
30,47979.4842,Germany,Germany,HIC
45,10614.67485,Dominica,Dominica,UMC
12.78,49058.49608,Denmark,Denmark,HIC
51,14306.62229,Dominican Republic,Dominican Republic,UMC
54.4,14657.78289,Algeria,Algeria,UMC
58.67,10783.06539,Ecuador,Ecuador,UMC
49,29212.94887,Spain,Spain,HIC
36.7,1637.334132,Estonia,Estonia,HIC
87.6,42220.95767,Ethiopia,Ethiopia,LIC
35.88,9053.987331,Finland,Finland,HIC
33.2,40833.24207,Fiji,Fiji,UMC
23.83,17981.2212,"Micronesia, Fed. Sts.","Micronesia, Fed. Sts.",LMC
16.7,9617.541676,United Kingdom,United Kingdom,HIC
39,4083.472352,Georgia,Georgia,LMC
24.57,1877.852605,Gibraltar,Gibraltar,HIC
58,1668.815203,Guinea,Guinea,LIC
35,1544.827265,"Gambia, The","Gambia, The",LIC
40,13626.11294,Greece,Greece,HIC
42.8,7788.497235,Greenland,Greenland,HIC
27.3,7558.051742,Guam,Guam,HIC
50.1,57235.21309,Guyana,Guyana,UMC
35,4613.124161,"Hong Kong SAR, China","Hong Kong SAR, China",HIC
57.9,23008.18872,Honduras,Honduras,LMC
30.9,1763.485249,Croatia,Croatia,HIC
61.3,26356.31374,Haiti,Haiti,LIC
22.5,11072.53789,Hungary,Hungary,HIC
16.6,17622.69462,Ireland,Ireland,HIC
72.9,15740.86238,"Iran, Islamic Rep.","Iran, Islamic Rep.",UMC
68.7,48728.09936,Iraq,Iraq,UMC
10,35514.54496,Iceland,Iceland,HIC
34,36836.42634,Israel,Israel,HIC
34.4,8651.279091,Italy,Italy,HIC
62.22,9068.304275,Jamaica,Jamaica,UMC
50,40446.87919,Jordan,Jordan,UMC
36,25123.31574,Japan,Japan,HIC
30,3028.689208,Kazakhstan,Kazakhstan,UMC
57,3457.707525,Kenya,Kenya,LMC
66.6,2082.39067,Cambodia,Cambodia,LMC
43.6,27377.0996,Kiribati,Kiribati,LMC
27.2,35760.73444,St. Kitts and Nevis,St. Kitts and Nevis,HIC
30,73131.60662,"Korea, Rep.","Korea, Rep.",HIC
45,6146.310386,Kuwait,Kuwait,HIC
16.9,14176.46205,Lao PDR,Lao PDR,LMC
52.5,1301.299399,Lebanon,Lebanon,UMC
70.1,12768.55827,Libya,Libya,UMC
37.6,11832.95181,Liechtenstein,Liechtenstein,HIC
62,2899.260319,Sri Lanka,Sri Lanka,LMC
40.4,102780.4409,Lithuania,Lithuania,HIC
30,24723.56397,Luxembourg,Luxembourg,HIC
46.7,107273.2,Latvia,Latvia,HIC
55,1470.793357,Moldova,Moldova,LMC
24,17699.15938,Maldives,Maldives,UMC
52.4,3914.561562,Mexico,Mexico,UMC
8,13831.32542,Marshall Islands,Marshall Islands,UMC
29.3,2049.704885,North Macedonia,"Macedonia, FYR",UMC
17.5,35667.97268,Mali,Mali,LIC
52,5400.643593,Malta,Malta,HIC
33.82,12187.76943,Montenegro,Montenegro,UMC
43.6,1194.243896,Northern Mariana Islands,Northern Mariana Islands,HIC
60,3846.465821,Mozambique,Mozambique,LIC
4.8,20163.02494,Mauritania,Mauritania,LMC
64,1162.715903,Mauritius,Mauritius,UMC
46,10651.22879,Malaysia,Malaysia,UMC
43.6,969.9149781,New Caledonia,New Caledonia,HIC
38,6070.992128,Niger,Niger,LIC
35,60519.97152,Netherlands,Netherlands,HIC
15.49,2471.608108,Norway,Norway,HIC
52.39,13104.47919,Nepal,Nepal,LIC
43.6,37562.48359,Nauru,Nauru,UMC
28,42585.06338,New Zealand,New Zealand,HIC
27,5014.931455,Oman,Oman,HIC
30,22232.81339,Pakistan,Pakistan,LMC
46.4,12570.20625,Panama,Panama,HIC
50.43,7341.942891,Peru,Peru,UMC
52.31,15183.0368,Philippines,Philippines,LMC
26,4084.749534,Palau,Palau,HIC
31,26826.22876,Papua New Guinea,Papua New Guinea,LMC
37.27,37715.35847,Poland,Poland,HIC
13.1,29684.69167,Puerto Rico,Puerto Rico,HIC
36.49,11896.03389,Portugal,Portugal,HIC
47,128021.977,French Polynesia,French Polynesia,HIC
57,21631.80621,Qatar,Qatar,HIC
56.26,24063.05616,Romania,Romania,UMC
28.41,1852.664626,Russian Federation,Russian Federation,UMC
45.5,4582.048108,Saudi Arabia,Saudi Arabia,HIC
51.4,3120.591971,Sudan,Sudan,LMC
12,87298.16826,Senegal,Senegal,LIC
10.51,2295.333927,Singapore,Singapore,HIC
42.8,1403.623065,Solomon Islands,Solomon Islands,LMC
65,60262.53517,El Salvador,El Salvador,LMC
37.62,2002.875551,Serbia,Serbia,UMC
57,29691.52303,Suriname,Suriname,UMC
42,31623.7121,Slovak Republic,Slovak Republic,HIC
23.34,8285.947663,Sweden,Sweden,HIC
46,26546.40359,Sint Maarten (Dutch part),Sint Maarten (Dutch part),HIC
21.8,2207.630748,Turks and Caicos Islands,Turks and Caicos Islands,HIC
70,1547.209325,Chad,Chad,LIC
38,16289.13286,Togo,Togo,LIC
65.52,2820.144309,Thailand,Thailand,UMC
16.18,7901.602648,Turkmenistan,Turkmenistan,UMC
43.6,5542.667725,Timor-Leste,Timor-Leste,LMC
51.3,33667.75032,Tonga,Tonga,UMC
27.15,11497.79223,Trinidad and Tobago,Trinidad and Tobago,HIC
68,25710.01612,Tunisia,Tunisia,LMC
64,3651.653953,Turkey,Turkey,UMC
43.6,2666.839967,Tuvalu,Tuvalu,UMC
